id_title;title;commentCount;dislikeCount;likeCount;viewCount;commentators_uniq;comments_obscene_cnt;video_age
9674;Звери - Дожди-пистолеты;661;941;15583;3843756;352;17;1756
9675;Звери - Клятвы;116;64;3752;590172;101;4;1375
9676;Звери - Лето (Рома Зверь & Вячеслав Зарубов Remix);35;50;502;37487;26;0;194
9677;Звери - Молодежь;28;21;900;108962;20;0;1203
9678;Звери - Муха;201;391;2918;772354;118;5;1109
9679;Звери - Напитки покрепче;1179;1732;32657;9953486;672;20;1399
9680;Звери - Никому;41;32;1380;200642;33;1;1756
9681;Звери - Прогулки;68;375;2232;191026;54;2;1204
9682;Звери - Просто такая сильная любовь;444;573;12791;3639475;183;12;1756
9683;Звери - Районы, кварталы;159;110;3918;557542;85;1;1399
9684;Звери - Рома, извини;296;329;8782;2188762;147;10;1756
9685;Звери - Страха Нет;49;127;714;90409;41;1;1083
9686;Звери - Страха нет (тизер);2;3;80;8806;2;0;1087
9687;Звери - Танцуй;150;102;3669;866818;65;4;1399
9688;Звери - Тебе;329;364;9404;2097977;182;2;1756
9689;"Звери - Тизер клипа ""Клятвы""";3;2;84;12623;3;0;1399
9690;Звери - Южная ночь;87;58;1525;325218;47;4;1756
9691;Звери - Я с тобой;901;1115;30462;6591809;479;18;1756
9692;Звери | Зеленый Театр 18.06.2016;28;7;308;14277;24;0;740
9693;Зверь;0;51;368;24642;1;0;292
9694;Зверь;2;26;95;11493;1;0;325
9695;Звоны огненных одежд;0;1;0;76;;;295
9696;Звёздное гестапо;1;2;32;2503;1;0;225
9697;Звёздное лето;0;62;283;13487;;;274
9698;Звёздное лето;0;2;23;740;;;295
9699;Звёздное лето;0;3;35;2137;;;1440
9700;Звёздочки;0;0;10;448;;;98
9701;Звёздочки;0;0;10;3214;;;267
9702;Звёзды;0;20;23;1095;;;379
9703;Звёзды и луна;0;0;12;888;;;1497
9704;Звёзды шансона - Будем жить (Live! Москва. СДК МАИ);48;37;726;258367;44;0;2723
9705;Здесь в лагерях - Жека;0;0;7;2638;;;1615
9706;Здесь куют металл;0;1;85;4240;;;296
9707;Здорово и вечно;0;0;10;448;1;0;210
9708;Здорово и вечно;2;1;101;6632;1;0;387
9709;Здоровье «Сбрось лишнее» с Валерией 06.03.2016;1;;;10967;1;0;1101
9710;Здоровэньки булу (Intro) (Live);0;11;12;8059;;;1251
9711;Здравствуй;1;1;23;888;;;1394
9712;Здравствуй месяц март;0;0;1;76;;;293
9713;Здравствуй, Питер;0;0;3;504;;;831
9714;Здравствуй, печаль;0;0;2;378;;;831
9715;Здравствуй, чёрный понедельник;0;0;11;449;1;0;210
9716;Здравствуй, чёрный понедельник;1;0;52;3767;1;0;490
9717;Здравствуйте;0;2;27;3667;;;267
9718;Здравствуйте (2003 Version);0;0;2;232;;;98
9719;Зеленый Слоник - Михаил Круг - Владимирский Централ;24;37;491;26992;20;1;2316
9720;Зелёный дом;0;2;0;230;;;262
9721;Зелёный дом;0;0;3;668;;;267
9722;Зелёный дом;0;0;15;1742;;;267
9723;Зелёный дом;0;4;38;2584;;;355
9724;Зелёный дом (Remix);1;0;7;917;;;267
9725;Земфира;1;6;51;5061;1;0;412
9726;Земфира - Австралия (Москва. Крокус/Стрелка);;;;177743;;;3026
9727;Земфира - Ариведерчи;;;;5825567;;;3026
9728;Земфира - Ариведерчи (Москва. Крокус/Стрелка);;;;250731;;;3026
9729;Земфира - Ариведерчи | Зелёный театр в Земфире;;;;159708;;;3026
9730;Земфира - Бесконечность;;;;5314690;;;3027
9731;Земфира - Бесконечность (Москва. Крокус/Стрелка);;;;211185;;;3026
9732;Земфира - Блюз;;;;2029855;;;3026
9733;Земфира - Брызги | Зелёный театр в Земфире;;11;391;69715;;;1564
9734;Земфира - Главное (Москва. Крокус/Стрелка);;;;97920;;;3026
9735;Земфира - Город (Москва. Крокус/Стрелка);;;;327333;;;3026
9736;Земфира - Господа;;;;183672;;;3026
9737;Земфира - Доказано | Зелёный театр в Земфире;;6;261;44071;;;1564
9738;Земфира - Дыши;;26;1030;102720;;;1925
9739;Земфира - Земфира (Москва. Крокус/Стрелка);;;;128394;;;3026
9740;Земфира - Искала;;;;7815539;;;3026
9741;Земфира - Искала (Москва. Крокус/Стрелка);;;;154845;;;3026
9742;Земфира - Искала | Москва (14.12.13);;24;1608;206621;;;1564
9743;Земфира - Итоги;;;;850128;;;3026
9744;Земфира - Кто? (Москва. Крокус/Стрелка);;;;105380;;;3026
9745;Земфира - Любовь как случайная смерть | Зелёный театр в Земфире;;22;1188;116117;;;1564
9746;Земфира - Маечки (Москва. Крокус/Стрелка);;;;206289;;;3026
9747;Земфира - Маечки | Зелёный театр в Земфире;;15;540;90591;;;1564
9748;Земфира - Мальчик | Зелёный театр в Земфире;;;;135567;;;3026
9749;Земфира - Мачо;;;;2980950;;;3026
9750;Земфира - Мечтой (Москва. Крокус/Стрелка);;;;157658;;;3026
9751;Земфира - Мы разбиваемся;;;;3418127;;;3026
9752;Земфира - Непошлое (Москва. Крокус/Стрелка);;;;226992;;;3026
9753;Земфира - Ощущения (Москва. Крокус/Стрелка);;;;132232;;;3026
9754;Земфира - П.М.М.Л. (Москва. Крокус/Стрелка);;;;173151;;;3026
9755;Земфира - ПММЛ;;;;6603085;;;3026
9756;Земфира - Попробуй спеть вместе со мной;;;;217511;;;3026
9757;Земфира - Похоронила | Москва (14.12.13);;30;913;141433;;;1564
9758;Земфира - Почему;;;;2230022;;;3027
9759;Земфира - Почему | Зелёный театр в Земфире;;;;141293;;;1564
9760;Земфира - Прогулка;;;;4995810;;;3025
9761;Земфира - Прости меня, моя любовь | Зелёный театр в Земфире;;;;157281;;;1564
9762;Земфира - Ракеты | Зелёный театр в Земфире;;20;448;69090;;;1564
9763;Земфира - Рассветы (Москва. Крокус/Стрелка);;;;165132;;;3026
9764;Земфира - Ромашки (Москва. Крокус/Стрелка);;;;304301;;;3026
9765;Земфира - Румба (Москва. Крокус/Стрелка);;;;127775;;;3026
9766;Земфира - Самолет;;;;879602;;;3027
9767;Земфира - Сигареты (Москва. Крокус/Стрелка);;;;307684;;;3026
9768;Земфира - Скандал (Москва. Крокус/Стрелка);;;;96564;;;3026
9769;Земфира - Снег начнётся;;;;449013;;;3026
9770;Земфира - Созрела (Москва. Крокус/Стрелка);;;;84277;;;3026
9771;Земфира - Созрела | Зелёный театр в Земфире;;8;319;45215;;;1564
9772;Земфира - Трафик | Зелёный театр в Земфире;;12;554;89960;;;1564
9773;Земфира - Хочешь?;;;;12125205;;;3026
9774;Земфира - Хочешь? (Москва. Крокус/Стрелка);;;;274882;;;3026
9775;Земфира - Хочешь? | Зелёный театр в Земфире;;;;130541;;;3026
9776;Земфира - Шкалят датчики | Зелёный театр в Земфире;;;;209907;;;3026
9777;Земфира – Ариведерчи | Москва (14.12.13);;44;2652;323395;;;1564
9778;Земфира – Без шансов | Москва (14.12.13);;;;641602;;;1564
9779;Земфира – Блюз | Москва (14.12.13);;;;134940;;;1564
9780;Земфира – В метро | Москва (14.12.13);;155;5060;628966;;;1564
